sn,name,type,package_kind,priority,complexity,scene,biz_line,risk_mechanism,assigned_agents,source_folder,source_title,topic,risk_terms,data_terms,method_terms,audit_goal,data_dependencies,output_type,source_file
MAGENV-0004,立足“严”的主基调构建审计机关容错纠错机制案例检测算法,杂志案例算法,algorithm,P0,L3,资源环境审计 / 绩效评价 / 财政与政府债务,审计观察/资源环境审计,案例规则,law_inspector / data_scout,审计观察,立足“严”的主基调构建审计机关容错纠错机制,立足“严”的主基调构建审计机关容错纠错机制,违规；风险；损失；绩效；违法,资产；资金；审计报告,评价；关联；识别；分析；审查；研究；机制；方法,基于杂志案例《立足“严”的主基调构建审计机关容错纠错机制》提炼“立足“严”的主基调构建审计机关容错纠错机制”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,立足“严”的主基调构建审计机关容错纠错机制疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\审计观察\8.立足“严”的主基调构建审计机关容错纠错机制.md
MAGSUPV-0071,审计期望差距对注册会计师法律责任的影响分析案例检测算法,杂志案例算法,algorithm,P0,L3,监督检查与经费舞弊 / 全场景通用 / 金融审计,审计观察/监督检查与经费舞弊,案例规则,review_sentinel / data_scout,审计观察,审计期望差距对注册会计师法律责任的影响分析,审计期望差距对注册会计师法律责任的影响分析,风险；舞弊；损失；真实性；违法；错报,数据；报表；会计；审计报告,模型；评价；抽样；识别；分析；研究；体系；人工智能,基于杂志案例《审计期望差距对注册会计师法律责任的影响分析》提炼“审计期望差距对注册会计师法律责任的影响分析”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证；工作底稿；整改台账；合同流水；授信审批,审计期望差距对注册会计师法律责任的影响分析疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\审计观察\9.审计期望差距对注册会计师法律责任的影响分析.md
MAGBUD-0005,0001财政内部控制案例指标包,杂志指标包,indicator_pack,P1,L3,预算执行与财政管理 / 财政与政府债务 / 绩效评价,财政监督/预算执行与财政管理,绩效偏离,budget_estimator / data_scout,财政监督,0001财政内部控制,0001财政内部控制,风险；舞弊；内控；绩效；漏洞；腐败,预算；资金,体系；机制；方法,基于杂志案例《0001财政内部控制》提炼“0001财政内部控制”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,0001财政内部控制指标、标准值、实际值、偏离率、评分和扣分原因,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\0001财政内部控制.md
MAGSUPV-0072,主题教育成果要转化成财会监督“物质的力量案例检测算法,杂志案例算法,algorithm,P0,L3,监督检查与经费舞弊 / 全场景通用 / 金融审计,财政监督/监督检查与经费舞弊,案例规则,review_sentinel / data_scout,财政监督,主题教育成果要转化成财会监督“物质的力量,主题教育成果要转化成财会监督“物质的力量,违规；异常；风险；重复；超预算；挪用；损失；低效；闲置；截留；内控；缺陷,数据；台账；清单；合同；发票；支付；流水；预算；决算；指标；项目库；问卷,算法；模型；规则；指标；评价；核查；穿透；关联；抽样；预警；监测；识别,基于杂志案例《主题教育成果要转化成财会监督“物质的力量》提炼“主题教育成果要转化成财会监督“物质的力量”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证；工作底稿；整改台账；合同流水；授信审批,主题教育成果要转化成财会监督“物质的力量疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\001.主题教育成果要转化成财会监督“物质的力量.md
MAGSOC-0008,001呵护我们共有“生态”案例规则包,杂志规则包,rule_pack,P1,L2,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,合规性,data_scout / performance_evaluator,财政监督,001呵护我们共有“生态”,001呵护我们共有“生态”,风险；违法,,体系,基于杂志案例《001呵护我们共有“生态”》提炼“001呵护我们共有“生态””审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；采购公告；投标文件；供应商信息,001呵护我们共有“生态”规则编号、触发条件、适用场景、证据资料、处理建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\001呵护我们共有“生态”.md
MAGBUD-0006,001财政“自我持续增长”的治理之路案例指标包,杂志指标包,indicator_pack,P1,L3,预算执行与财政管理 / 财政与政府债务 / 绩效评价,财政监督/预算执行与财政管理,绩效偏离,budget_estimator / data_scout,财政监督,001财政“自我持续增长”的治理之路,001财政“自我持续增长”的治理之路,风险；绩效；腐败,支付；预算,体系,基于杂志案例《001财政“自我持续增长”的治理之路》提炼“001财政“自我持续增长”的治理之路”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,001财政“自我持续增长”的治理之路指标、标准值、实际值、偏离率、评分和扣分原因,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\001财政“自我持续增长”的治理之路.md
MAGAGR-0009,002中国式现代化引领财政现代化的历史脉络与展望案例检测算法,杂志案例算法,algorithm,P0,L3,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,案例规则,data_scout / law_inspector,财政监督,002中国式现代化引领财政现代化的历史脉络与展望,002中国式现代化引领财政现代化的历史脉络与展望,风险；绩效,数据；支付；预算；决算；采购；资产；申报；税收；资金；会计,算法；规则；评价；分析；研究；体系；路径；机制；方法；大数据,基于杂志案例《002中国式现代化引领财政现代化的历史脉络与展望》提炼“002中国式现代化引领财政现代化的历史脉络与展望”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；合同流水；授信审批；还款记录,002中国式现代化引领财政现代化的历史脉络与展望疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\002中国式现代化引领财政现代化的历史脉络与展望.md
MAGSUPV-0073,002努力做到三个“紧紧跟随”以主题教育推动财政监管事业高质量发展案例检测算法,杂志案例算法,algorithm,P0,L3,监督检查与经费舞弊 / 全场景通用 / 金融审计,财政监督/监督检查与经费舞弊,真实性,review_sentinel / data_scout,财政监督,002努力做到三个“紧紧跟随”以主题教育推动财政监管事业高质量发展,002努力做到三个“紧紧跟随”以主题教育推动财政监管事业高质量发展,风险；低效；闲置；内控；真实性；绩效,数据；支付；预算；决算；资产；资金；会计；工作底稿,评价；核查；穿透；监测；分析；研究；体系；机制；方法；大数据,基于杂志案例《002努力做到三个“紧紧跟随”以主题教育推动财政监管事业高质量发展》提炼“002努力做到三个“紧紧跟随”以主题教育推动财政监管事业高质量发展”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；内控制度；会计凭证；工作底稿,002努力做到三个“紧紧跟随”以主题教育推动财政监管事业高质量发展疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\002努力做到三个“紧紧跟随”以主题教育推动财政监管事业高质量发展.md
MAGSUPV-0074,002多措并举持续推动绩效评价提质增效案例检测算法,杂志案例算法,algorithm,P0,L3,监督检查与经费舞弊 / 全场景通用 / 金融审计,财政监督/监督检查与经费舞弊,案例规则,review_sentinel / data_scout,财政监督,002多措并举持续推动绩效评价提质增效,002多措并举持续推动绩效评价提质增效,真实性；绩效；偏离,数据；清单；支付；预算；指标；样本；报表；采购；绩效目标；资产；资金；会计,规则；指标；评价；评分；比对；核查；关联；监测；分析；审查；研究；体系,基于杂志案例《002多措并举持续推动绩效评价提质增效》提炼“002多措并举持续推动绩效评价提质增效”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；绩效目标表；绩效评价指标；产出效果数据；内控制度；会计凭证；工作底稿,002多措并举持续推动绩效评价提质增效疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\002多措并举持续推动绩效评价提质增效.md
MAGTAX-0004,002系统推进财政内控制度建设的脉络、维度与进路内控核查包,杂志内控包,control_pack,P0,L2,税务审计 / 预算执行与财政管理 / 财政与政府债务,财政监督/税务审计,内控缺陷,data_scout / law_inspector,财政监督,002系统推进财政内控制度建设的脉络、维度与进路,002系统推进财政内控制度建设的脉络、维度与进路,违规；风险；内控；绩效；预警；违法,数据；合同；支付；预算；决算；指标；采购；资产；税收；资金；会计,算法；规则；指标；评价；核查；穿透；关联；预警；分析；研究；体系；路径,基于杂志案例《002系统推进财政内控制度建设的脉络、维度与进路》提炼“002系统推进财政内控制度建设的脉络、维度与进路”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；内控制度；会计凭证；工作底稿,002系统推进财政内控制度建设的脉络、维度与进路控制点、缺陷类型、责任环节、整改建议、复核状态,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\002系统推进财政内控制度建设的脉络、维度与进路.md
MAGFIN-0011,003中国式现代化进程中财会监督发展历程与展望案例检测算法,杂志案例算法,algorithm,P0,L3,金融审计 / 国企审计 / 监督检查与经费舞弊,财政监督/金融审计,案例规则,data_scout / contract_hound,财政监督,003中国式现代化进程中财会监督发展历程与展望,003中国式现代化进程中财会监督发展历程与展望,违规；风险；挪用；损失；内控；绩效；漏洞,数据；预算；指标；采购；税收；资金；会计,算法；规则；指标；评价；核查；分析；研究；体系；机制；方法；大数据；人工智能,基于杂志案例《003中国式现代化进程中财会监督发展历程与展望》提炼“003中国式现代化进程中财会监督发展历程与展望”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证；工作底稿；整改台账；合同流水；授信审批,003中国式现代化进程中财会监督发展历程与展望疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\003中国式现代化进程中财会监督发展历程与展望.md
MAGSUPV-0075,003充分发挥绩效评价“手术刀”作用，为财政经济高质量发展提供坚强保障案例指标包,杂志指标包,indicator_pack,P1,L3,监督检查与经费舞弊 / 全场景通用 / 金融审计,财政监督/监督检查与经费舞弊,绩效偏离,review_sentinel / data_scout,财政监督,003充分发挥绩效评价“手术刀”作用，为财政经济高质量发展提供坚强保障,003充分发挥绩效评价“手术刀”作用，为财政经济高质量发展提供坚强保障,风险；低效；绩效；偏离,台账；支付；预算；指标；样本；采购；资产；资金；会计,规则；指标；评价；评分；分析；研究；体系；路径；机制,基于杂志案例《003充分发挥绩效评价“手术刀”作用，为财政经济高质量发展提供坚强保障》提炼“003充分发挥绩效评价“手术刀”作用，为财政经济高质量发展提供坚强保障”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,003充分发挥绩效评价“手术刀”作用，为财政经济高质量发展提供坚强保障指标、标准值、实际值、偏离率、评分和扣分原因,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\003充分发挥绩效评价“手术刀”作用，为财政经济高质量发展提供坚强保障.md
MAGAGR-0010,003财政中心工作以主题教育开展成效推动财政监管工作高质量发展案例检测算法,杂志案例算法,algorithm,P0,L3,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,真实性,data_scout / law_inspector,财政监督,003财政中心工作以主题教育开展成效推动财政监管工作高质量发展,003财政中心工作以主题教育开展成效推动财政监管工作高质量发展,风险；内控；腐败,清单；支付；预算；问卷；资产,评价；分析；研究；体系；机制；方法,基于杂志案例《003财政中心工作以主题教育开展成效推动财政监管工作高质量发展》提炼“003财政中心工作以主题教育开展成效推动财政监管工作高质量发展”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；合同流水；授信审批；还款记录,003财政中心工作以主题教育开展成效推动财政监管工作高质量发展疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\003财政中心工作以主题教育开展成效推动财政监管工作高质量发展.md
MAGTAX-0005,003适应新时代财政治理需要扎实推进监管局内控工作案例指标包,杂志指标包,indicator_pack,P1,L3,税务审计 / 预算执行与财政管理 / 财政与政府债务,财政监督/税务审计,绩效偏离,data_scout / law_inspector,财政监督,003适应新时代财政治理需要扎实推进监管局内控工作,003适应新时代财政治理需要扎实推进监管局内控工作,风险；内控；绩效,数据；预算；审批；税收；会计,核查；分析；研究；体系；路径；机制；方法,基于杂志案例《003适应新时代财政治理需要扎实推进监管局内控工作》提炼“003适应新时代财政治理需要扎实推进监管局内控工作”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；内控制度；会计凭证；工作底稿,003适应新时代财政治理需要扎实推进监管局内控工作指标、标准值、实际值、偏离率、评分和扣分原因,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\003适应新时代财政治理需要扎实推进监管局内控工作.md
MAGSOC-0009,004中国式现代化预算绩效管理改革之路案例检测算法,杂志案例算法,algorithm,P0,L3,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,财政监督,004中国式现代化预算绩效管理改革之路,004中国式现代化预算绩效管理改革之路,风险；低效；闲置；绩效,支付；预算；指标；采购；绩效目标；资产；碳排放；税收；资金,算法；规则；指标；评价；识别；分析；审查；研究；体系；路径；机制；方法,基于杂志案例《004中国式现代化预算绩效管理改革之路》提炼“004中国式现代化预算绩效管理改革之路”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,004中国式现代化预算绩效管理改革之路疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\004中国式现代化预算绩效管理改革之路.md
MAGSUPV-0076,004学思践悟正风促干以主题教育推动财会监督事业高质量发展案例检测算法,杂志案例算法,algorithm,P0,L3,监督检查与经费舞弊 / 全场景通用 / 金融审计,财政监督/监督检查与经费舞弊,真实性,review_sentinel / data_scout,财政监督,004学思践悟正风促干以主题教育推动财会监督事业高质量发展,004学思践悟正风促干以主题教育推动财会监督事业高质量发展,风险；内控；绩效,数据；台账；支付；预算；决算；税收；资金；会计,规则；评价；核查；监测；分析；研究；体系；机制；方法,基于杂志案例《004学思践悟正风促干以主题教育推动财会监督事业高质量发展》提炼“004学思践悟正风促干以主题教育推动财会监督事业高质量发展”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证；工作底稿；整改台账；合同流水；授信审批,004学思践悟正风促干以主题教育推动财会监督事业高质量发展疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\004学思践悟正风促干以主题教育推动财会监督事业高质量发展.md
MAGSOC-0010,004秉持四字原则注重实效实绩，打造全链条绩效评价闭环管理体系案例指标包,杂志指标包,indicator_pack,P1,L3,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,绩效偏离,data_scout / performance_evaluator,财政监督,004秉持四字原则注重实效实绩，打造全链条绩效评价闭环管理体系,004秉持四字原则注重实效实绩，打造全链条绩效评价闭环管理体系,风险；内控；完整性；绩效；失真；错报,数据；清单；支付；预算；指标；项目库；问卷；绩效目标；申报；资金,规则；指标；评价；评分；测算；分析；研究；体系；路径；机制；方法,基于杂志案例《004秉持四字原则注重实效实绩，打造全链条绩效评价闭环管理体系》提炼“004秉持四字原则注重实效实绩，打造全链条绩效评价闭环管理体系”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,004秉持四字原则注重实效实绩，打造全链条绩效评价闭环管理体系指标、标准值、实际值、偏离率、评分和扣分原因,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\004秉持四字原则注重实效实绩，打造全链条绩效评价闭环管理体系.md
MAGBUD-0007,004财政内控理论、实践与未来展望案例检测算法,杂志案例算法,algorithm,P0,L3,预算执行与财政管理 / 财政与政府债务 / 绩效评价,财政监督/预算执行与财政管理,案例规则,budget_estimator / data_scout,财政监督,004财政内控理论、实践与未来展望,004财政内控理论、实践与未来展望,异常；风险；虚假；内控；绩效；预警,数据；预算；指标；采购；资产；资金；会计,模型；规则；指标；评价；预警；识别；分析；研究；体系；路径；机制；方法,基于杂志案例《004财政内控理论、实践与未来展望》提炼“004财政内控理论、实践与未来展望”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,004财政内控理论、实践与未来展望疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\004财政内控理论、实践与未来展望.md
MAGBUD-0008,005厚植绩效理念坚持守土尽责，做深做实转移支付资金绩效评价工作案例检测算法,杂志案例算法,algorithm,P0,L3,预算执行与财政管理 / 财政与政府债务 / 绩效评价,财政监督/预算执行与财政管理,案例规则,budget_estimator / data_scout,财政监督,005厚植绩效理念坚持守土尽责，做深做实转移支付资金绩效评价工作,005厚植绩效理念坚持守土尽责，做深做实转移支付资金绩效评价工作,违规；套取；损失；内控；真实性；绩效；偏离,台账；清单；凭证；支付；预算；指标；申报；资金,规则；指标；评价；核查；分析；研究；体系；机制；方法,基于杂志案例《005厚植绩效理念坚持守土尽责，做深做实转移支付资金绩效评价工作》提炼“005厚植绩效理念坚持守土尽责，做深做实转移支付资金绩效评价工作”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,005厚植绩效理念坚持守土尽责，做深做实转移支付资金绩效评价工作疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\005厚植绩效理念坚持守土尽责，做深做实转移支付资金绩效评价工作.md
MAGSOC-0011,005新时代人大预算监督改革回顾与展望案例检测算法,杂志案例算法,algorithm,P0,L3,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,财政监督,005新时代人大预算监督改革回顾与展望,005新时代人大预算监督改革回顾与展望,风险；真实性；绩效；违法,数据；支付；预算；决算；招标；绩效目标；资产；资金,算法；评价；分析；审查；研究；体系；路径；机制；方法；大数据；人工智能,基于杂志案例《005新时代人大预算监督改革回顾与展望》提炼“005新时代人大预算监督改革回顾与展望”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；内控制度；会计凭证；工作底稿,005新时代人大预算监督改革回顾与展望疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\005新时代人大预算监督改革回顾与展望.md
MAGAGR-0011,005紧紧围绕主题教育总要求推动财会监督高质量发展案例检测算法,杂志案例算法,algorithm,P0,L3,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,真实性,data_scout / law_inspector,财政监督,005紧紧围绕主题教育总要求推动财会监督高质量发展,005紧紧围绕主题教育总要求推动财会监督高质量发展,违规；风险；违法,支付；预算；指标；资产；税收；资金；会计,算法；指标；核查；监测；分析；研究；体系；机制；方法,基于杂志案例《005紧紧围绕主题教育总要求推动财会监督高质量发展》提炼“005紧紧围绕主题教育总要求推动财会监督高质量发展”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；内控制度；会计凭证；工作底稿,005紧紧围绕主题教育总要求推动财会监督高质量发展疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\005紧紧围绕主题教育总要求推动财会监督高质量发展.md
MAGTAX-0006,005财政内部控制建设述评与展望案例检测算法,杂志案例算法,algorithm,P0,L3,税务审计 / 预算执行与财政管理 / 财政与政府债务,财政监督/税务审计,案例规则,data_scout / law_inspector,财政监督,005财政内部控制建设述评与展望,005财政内部控制建设述评与展望,违规；风险；舞弊；内控；绩效；预警；腐败,数据；预算；指标；审批；采购；资产；税收；资金；会计,指标；评价；预警；监测；识别；分析；审查；研究；体系；机制；方法；大数据,基于杂志案例《005财政内部控制建设述评与展望》提炼“005财政内部控制建设述评与展望”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；纳税申报表；发票明细；税收优惠台账,005财政内部控制建设述评与展望疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\005财政内部控制建设述评与展望.md
MAGFIN-0012,006把“两个结合”融人财政工作中案例指标包,杂志指标包,indicator_pack,P1,L3,金融审计 / 国企审计 / 监督检查与经费舞弊,财政监督/金融审计,绩效偏离,data_scout / contract_hound,财政监督,006把“两个结合”融人财政工作中,006把“两个结合”融人财政工作中,风险,税收；会计,评价；研究；体系；方法,基于杂志案例《006把“两个结合”融人财政工作中》提炼“006把“两个结合”融人财政工作中”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；内控制度；会计凭证；工作底稿,006把“两个结合”融人财政工作中指标、标准值、实际值、偏离率、评分和扣分原因,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\006把“两个结合”融人财政工作中.md
MAGBUD-0009,006财政运行综合绩效评价案例检测算法,杂志案例算法,algorithm,P0,L3,预算执行与财政管理 / 财政与政府债务 / 绩效评价,财政监督/预算执行与财政管理,案例规则,budget_estimator / data_scout,财政监督,006财政运行综合绩效评价,006财政运行综合绩效评价,风险；绩效,支付；预算；指标,指标；评价；监测；分析；研究；体系；路径；方法,基于杂志案例《006财政运行综合绩效评价》提炼“006财政运行综合绩效评价”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,006财政运行综合绩效评价疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\006财 政 运 行 综 合 绩 效 评 价.md
MAGFIN-0013,006财政监督论案例检测算法,杂志案例算法,algorithm,P0,L3,金融审计 / 国企审计 / 监督检查与经费舞弊,财政监督/金融审计,案例规则,data_scout / contract_hound,财政监督,006财政监督论,006财政监督论,挪用；违法,支付；预算；决算；审批；税收；资金；会计,算法；分析；审查；研究；体系；机制；方法,基于杂志案例《006财政监督论》提炼“006财政监督论”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；内控制度；会计凭证；工作底稿,006财政监督论疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\006财政监督论.md
MAGSUPV-0077,006预算绩效评价理念嬗变及基本问题案例检测算法,杂志案例算法,algorithm,P0,L3,监督检查与经费舞弊 / 全场景通用 / 金融审计,财政监督/监督检查与经费舞弊,案例规则,review_sentinel / data_scout,财政监督,006预算绩效评价理念嬗变及基本问题,006预算绩效评价理念嬗变及基本问题,风险；缺陷；绩效；偏离；预警；形式主义,数据；凭证；支付；预算；指标；审批；绩效目标；税收；资金；会计,算法；模型；指标；评价；关联；预警；监测；分析；审查；研究；体系；路径,基于杂志案例《006预算绩效评价理念嬗变及基本问题》提炼“006预算绩效评价理念嬗变及基本问题”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,006预算绩效评价理念嬗变及基本问题疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\006预算绩效评价理念嬗变及基本问题.md
MAGSOC-0012,007如何进一步强化财政暂付款监管案例检测算法,杂志案例算法,algorithm,P0,L3,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,财政监督,007如何进一步强化财政暂付款监管,007如何进一步强化财政暂付款监管,违规；异常；风险；超预算；挪用；损失；低效；闲置；绩效；预警；违法；隐患,数据；台账；清单；支付；预算；审批；结算；绩效目标；资产；资金；会计,算法；评价；核查；预警；监测；测算；分析；审查；研究；体系；路径；机制,基于杂志案例《007如何进一步强化财政暂付款监管》提炼“007如何进一步强化财政暂付款监管”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；采购公告；投标文件；供应商信息,007如何进一步强化财政暂付款监管疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\007如何进一步强化财政暂付款监管.md
MAGBUD-0010,007把握重点突破难点逐步推进财政运行综合绩效评价全覆盖案例指标包,杂志指标包,indicator_pack,P1,L3,预算执行与财政管理 / 财政与政府债务 / 绩效评价,财政监督/预算执行与财政管理,绩效偏离,budget_estimator / data_scout,财政监督,007把握重点突破难点逐步推进财政运行综合绩效评价全覆盖,007把握重点突破难点逐步推进财政运行综合绩效评价全覆盖,违规；完整性；绩效；违法,数据；支付；预算；指标；资金,指标；评价；关联；分析；研究；体系；机制；方法,基于杂志案例《007把握重点突破难点逐步推进财政运行综合绩效评价全覆盖》提炼“007把握重点突破难点逐步推进财政运行综合绩效评价全覆盖”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,007把握重点突破难点逐步推进财政运行综合绩效评价全覆盖指标、标准值、实际值、偏离率、评分和扣分原因,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\007把握重点突破难点逐步推进财政运行综合绩效评价全覆盖.md
