optimized_sn,previous_optimized_sn,sn,name,type,priority,complexity,quality_score,quality_tier,curation_status,scene,biz_line,risk_mechanism,assigned_agents,library_source,source_title,topic,source_file,audit_goal,data_dependencies,output_type,duplicate_merged_count,related_candidates
OPTSOC-0019,OPTSOC-0019,MAGSOC-0047,全成本预算绩效管理优化路径分析案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,全成本预算绩效管理优化路径分析,全成本预算绩效管理优化路径分析,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\2.全成本预算绩效管理优化路径分析.md,基于杂志案例《全成本预算绩效管理优化路径分析》提炼“全成本预算绩效管理优化路径分析”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,全成本预算绩效管理优化路径分析疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0020,OPTSOC-0020,MAGSOC-0058,全成本预算绩效管理实例分析案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,全成本预算绩效管理实例分析,全成本预算绩效管理实例分析,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\4.全成本预算绩效管理实例分析.md,基于杂志案例《全成本预算绩效管理实例分析》提炼“全成本预算绩效管理实例分析”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,全成本预算绩效管理实例分析疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0021,OPTSOC-0021,MAGSOC-0034,公立医院内部控制信息化体系研究案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,公立医院内部控制信息化体系研究,公立医院内部控制信息化体系研究,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\15.公立医院内部控制信息化体系研究.md,基于杂志案例《公立医院内部控制信息化体系研究》提炼“公立医院内部控制信息化体系研究”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；采购公告；投标文件；供应商信息,公立医院内部控制信息化体系研究疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0022,OPTSOC-0022,MAGSOC-0023,共同富裕背景下财政促进就业政策绩效分析案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,共同富裕背景下财政促进就业政策绩效分析,共同富裕背景下财政促进就业政策绩效分析,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\10.共同富裕背景下财政促进就业政策绩效分析.md,基于杂志案例《共同富裕背景下财政促进就业政策绩效分析》提炼“共同富裕背景下财政促进就业政策绩效分析”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,共同富裕背景下财政促进就业政策绩效分析疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0023,OPTSOC-0023,MAGSOC-0067,关注地方预决算公开度排行榜案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,关注地方预决算公开度排行榜,关注地方预决算公开度排行榜,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\6.关注地方预决算公开度排行榜.md,基于杂志案例《关注地方预决算公开度排行榜》提炼“关注地方预决算公开度排行榜”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；采购公告；投标文件；供应商信息,关注地方预决算公开度排行榜疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0024,OPTSOC-0024,MAGSOC-0039,内部控制视域下加强地方政府债务风险管理的对策案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,异常性,data_scout / performance_evaluator,magazine_435_articles,内部控制视域下加强地方政府债务风险管理的对策,内部控制视域下加强地方政府债务风险管理的对策,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\17.内部控制视域下加强地方政府债务风险管理的对策.md,基于杂志案例《内部控制视域下加强地方政府债务风险管理的对策》提炼“内部控制视域下加强地方政府债务风险管理的对策”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；采购公告；投标文件；供应商信息,内部控制视域下加强地方政府债务风险管理的对策疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0025,OPTSOC-0025,MAGSOC-0072,加强民生支出财政监督切实提升民生福祉案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,加强民生支出财政监督切实提升民生福祉,加强民生支出财政监督切实提升民生福祉,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\7.加强民生支出财政监督切实提升民生福祉.md,基于杂志案例《加强民生支出财政监督切实提升民生福祉》提炼“加强民生支出财政监督切实提升民生福祉”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；内控制度；会计凭证；工作底稿,加强民生支出财政监督切实提升民生福祉疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0026,OPTSOC-0026,MAGSOC-0074,区县财政运行综合绩效评价探索案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,区县财政运行综合绩效评价探索,区县财政运行综合绩效评价探索,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\8.区县财政运行综合绩效评价探索.md,基于杂志案例《区县财政运行综合绩效评价探索》提炼“区县财政运行综合绩效评价探索”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,区县财政运行综合绩效评价探索疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0027,OPTSOC-0027,MAGSOC-0044,地方政府产业投资基金审计质量提升路径探讨案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,真实性,data_scout / performance_evaluator,magazine_435_articles,地方政府产业投资基金审计质量提升路径探讨,地方政府产业投资基金审计质量提升路径探讨,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\19.地方政府产业投资基金审计质量提升路径探讨.md,基于杂志案例《地方政府产业投资基金审计质量提升路径探讨》提炼“地方政府产业投资基金审计质量提升路径探讨”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；采购公告；投标文件；供应商信息,地方政府产业投资基金审计质量提升路径探讨疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0028,OPTSOC-0028,MAGSOC-0054,基层央行数字人民币应用的财务问题研究案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,基层央行数字人民币应用的财务问题研究,基层央行数字人民币应用的财务问题研究,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\21.基层央行数字人民币应用的财务问题研究.md,基于杂志案例《基层央行数字人民币应用的财务问题研究》提炼“基层央行数字人民币应用的财务问题研究”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；采购公告；投标文件；供应商信息,基层央行数字人民币应用的财务问题研究疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0029,OPTSOC-0029,MAGSOC-0035,基层财政监督促共富路径探索案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,基层财政监督促共富路径探索,基层财政监督促共富路径探索,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\15.基层财政监督促共富路径探索.md,基于杂志案例《基层财政监督促共富路径探索》提炼“基层财政监督促共富路径探索”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；内控制度；会计凭证；工作底稿,基层财政监督促共富路径探索疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0030,OPTSOC-0030,MAGSOC-0031,基层预算绩效管理改革的创新实践案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,基层预算绩效管理改革的创新实践,基层预算绩效管理改革的创新实践,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\13.基层预算绩效管理改革的创新实践.md,基于杂志案例《基层预算绩效管理改革的创新实践》提炼“基层预算绩效管理改革的创新实践”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,基层预算绩效管理改革的创新实践疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0031,OPTSOC-0031,MAGSOC-0059,完善预算执行动态监控机制探索案例检测算法,杂志案例算法,P0,L4,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,大数据背景下完善预算执行动态监控机制探索,完善预算执行动态监控机制探索,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\4.大数据背景下完善预算执行动态监控机制探索.md,基于杂志案例《大数据背景下完善预算执行动态监控机制探索》提炼“完善预算执行动态监控机制探索”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；采购公告；投标文件；供应商信息,完善预算执行动态监控机制探索疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0032,OPTSOC-0032,MAGSOC-0060,完善地方人大预算绩效监督的思考案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,完善地方人大预算绩效监督的思考,完善地方人大预算绩效监督的思考,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\4.完善地方人大预算绩效监督的思考.md,基于杂志案例《完善地方人大预算绩效监督的思考》提炼“完善地方人大预算绩效监督的思考”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,完善地方人大预算绩效监督的思考疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0033,OPTSOC-0033,MAGSOC-0045,建筑企业数字化转型的动因与路径研究案例检测算法,杂志案例算法,P0,L4,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,建筑企业数字化转型的动因与路径研究,建筑企业数字化转型的动因与路径研究,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\19.建筑企业数字化转型的动因与路径研究.md,基于杂志案例《建筑企业数字化转型的动因与路径研究》提炼“建筑企业数字化转型的动因与路径研究”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；采购公告；投标文件；供应商信息,建筑企业数字化转型的动因与路径研究疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0034,OPTSOC-0034,MAGSOC-0046,我国房地产企业成本控制问题研究案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,我国房地产企业成本控制问题研究,我国房地产企业成本控制问题研究,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\19.我国房地产企业成本控制问题研究.md,基于杂志案例《我国房地产企业成本控制问题研究》提炼“我国房地产企业成本控制问题研究”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；采购公告；投标文件；供应商信息,我国房地产企业成本控制问题研究疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0035,OPTSOC-0035,MAGSOC-0030,技术改造专项资金绩效评价实践探索案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,技术改造专项资金绩效评价实践探索,技术改造专项资金绩效评价实践探索,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\12.技术改造专项资金绩效评价实践探索.md,基于杂志案例《技术改造专项资金绩效评价实践探索》提炼“技术改造专项资金绩效评价实践探索”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,技术改造专项资金绩效评价实践探索疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0036,OPTSOC-0036,MAGSOC-0068,推行绩效管理加强财会监督：如何落实《行政单位财务规则》新规(下)案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,推行绩效管理加强财会监督：如何落实《行政单位财务规则》新规(下),推行绩效管理加强财会监督：如何落实《行政单位财务规则》新规(下),D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\6.推行绩效管理加强财会监督：如何落实《行政单位财务规则》新规(下).md,基于杂志案例《推行绩效管理加强财会监督：如何落实《行政单位财务规则》新规(下)》提炼“推行绩效管理加强财会监督：如何落实《行政单位财务规则》新规(下)”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,推行绩效管理加强财会监督：如何落实《行政单位财务规则》新规(下)疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0037,OPTSOC-0037,MAGSOC-0056,企业财务管理转型目标探讨案例检测算法,杂志案例算法,P0,L4,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,数字化背景下企业财务管理转型目标探讨,企业财务管理转型目标探讨,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\24.数字化背景下企业财务管理转型目标探讨.md,基于杂志案例《数字化背景下企业财务管理转型目标探讨》提炼“企业财务管理转型目标探讨”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；采购公告；投标文件；供应商信息,企业财务管理转型目标探讨疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0038,OPTSOC-0038,MAGSOC-0053,数智时代企业的业务转型及财务创新案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,数智时代企业的业务转型及财务创新,数智时代企业的业务转型及财务创新,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\20.数智时代企业的业务转型及财务创新.md,基于杂志案例《数智时代企业的业务转型及财务创新》提炼“数智时代企业的业务转型及财务创新”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；采购公告；投标文件；供应商信息,数智时代企业的业务转型及财务创新疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0039,OPTSOC-0039,MAGSOC-0075,新型研发机构绩效评价研究案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,新型研发机构绩效评价研究,新型研发机构绩效评价研究,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\8.新型研发机构绩效评价研究.md,基于杂志案例《新型研发机构绩效评价研究》提炼“新型研发机构绩效评价研究”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,新型研发机构绩效评价研究疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0040,OPTSOC-0040,MAGSOC-0048,人大预算审查监督工作创新发展探讨案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,新时代人大预算审查监督工作创新发展探讨,人大预算审查监督工作创新发展探讨,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\2.新时代人大预算审查监督工作创新发展探讨.md,基于杂志案例《新时代人大预算审查监督工作创新发展探讨》提炼“人大预算审查监督工作创新发展探讨”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；内控制度；会计凭证；工作底稿,人大预算审查监督工作创新发展探讨疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0041,OPTSOC-0041,MAGSOC-0028,浅析绩效管理在政府投资数字化项目管理上的运用和优化案例检测算法,杂志案例算法,P0,L4,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,浅析绩效管理在政府投资数字化项目管理上的运用和优化,浅析绩效管理在政府投资数字化项目管理上的运用和优化,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\11.浅析绩效管理在政府投资数字化项目管理上的运用和优化.md,基于杂志案例《浅析绩效管理在政府投资数字化项目管理上的运用和优化》提炼“浅析绩效管理在政府投资数字化项目管理上的运用和优化”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,浅析绩效管理在政府投资数字化项目管理上的运用和优化疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0042,OPTSOC-0042,MAGSOC-0080,浅谈“大数据”在预算绩效评价中的探索与运用案例检测算法,杂志案例算法,P0,L4,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,浅谈“大数据”在预算绩效评价中的探索与运用,浅谈“大数据”在预算绩效评价中的探索与运用,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\9.浅谈“大数据”在预算绩效评价中的探索与运用.md,基于杂志案例《浅谈“大数据”在预算绩效评价中的探索与运用》提炼“浅谈“大数据”在预算绩效评价中的探索与运用”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,浅谈“大数据”在预算绩效评价中的探索与运用疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0043,OPTSOC-0043,MAGSOC-0036,相对贫困视域下我国转移支付资金监管问题研究案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,相对贫困视域下我国转移支付资金监管问题研究,相对贫困视域下我国转移支付资金监管问题研究,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\15.相对贫困视域下我国转移支付资金监管问题研究.md,基于杂志案例《相对贫困视域下我国转移支付资金监管问题研究》提炼“相对贫困视域下我国转移支付资金监管问题研究”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；采购公告；投标文件；供应商信息,相对贫困视域下我国转移支付资金监管问题研究疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0044,OPTSOC-0044,MAGSOC-0033,财政支出培训项目绩效评价指标体系构建研究案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,财政支出培训项目绩效评价指标体系构建研究,财政支出培训项目绩效评价指标体系构建研究,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\14.财政支出培训项目绩效评价指标体系构建研究.md,基于杂志案例《财政支出培训项目绩效评价指标体系构建研究》提炼“财政支出培训项目绩效评价指标体系构建研究”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,财政支出培训项目绩效评价指标体系构建研究疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0045,OPTSOC-0045,MAGSOC-0065,财政资金采购医疗设备绩效管理探讨案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,财政资金采购医疗设备绩效管理探讨,财政资金采购医疗设备绩效管理探讨,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\5.财政资金采购医疗设备绩效管理探讨.md,基于杂志案例《财政资金采购医疗设备绩效管理探讨》提炼“财政资金采购医疗设备绩效管理探讨”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,财政资金采购医疗设备绩效管理探讨疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0046,OPTSOC-0046,MAGSOC-0070,财政预备费绩效管理的现实挑战与路径选择案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,财政预备费绩效管理的现实挑战与路径选择,财政预备费绩效管理的现实挑战与路径选择,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\6.财政预备费绩效管理的现实挑战与路径选择.md,基于杂志案例《财政预备费绩效管理的现实挑战与路径选择》提炼“财政预备费绩效管理的现实挑战与路径选择”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,财政预备费绩效管理的现实挑战与路径选择疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0047,OPTSOC-0047,MAGSOC-0066,部门整体成本预算绩效分析思路研究案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,部门整体成本预算绩效分析思路研究,部门整体成本预算绩效分析思路研究,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\5.部门整体成本预算绩效分析思路研究.md,基于杂志案例《部门整体成本预算绩效分析思路研究》提炼“部门整体成本预算绩效分析思路研究”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,部门整体成本预算绩效分析思路研究疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0048,OPTSOC-0048,MAGSOC-0050,重大政策和项目全周期跟踪问效的探索与实践案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,重大政策和项目全周期跟踪问效的探索与实践,重大政策和项目全周期跟踪问效的探索与实践,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\2.重大政策和项目全周期跟踪问效的探索与实践.md,基于杂志案例《重大政策和项目全周期跟踪问效的探索与实践》提炼“重大政策和项目全周期跟踪问效的探索与实践”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；采购公告；投标文件；供应商信息,重大政策和项目全周期跟踪问效的探索与实践疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTSOC-0049,OPTSOC-0049,MAGSOC-0025,项目资金绩效指标体系建设思路分析案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,财政监督/民生与社保医保,案例规则,data_scout / performance_evaluator,magazine_435_articles,项目资金绩效指标体系建设思路分析,项目资金绩效指标体系建设思路分析,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\10.项目资金绩效指标体系建设思路分析.md,基于杂志案例《项目资金绩效指标体系建设思路分析》提炼“项目资金绩效指标体系建设思路分析”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,项目资金绩效指标体系建设思路分析疑点清单、命中规则、风险等级、证据链、核查建议,,
