sn,name,type,package_kind,priority,complexity,scene,biz_line,risk_mechanism,assigned_agents,source_kind,source_top,source_title,topic,merge_action,audit_goal,data_dependencies,output_type,source_file
ENVV6D-011,领导干部自然资源资产离任审计常见问题定性与评价指南-监督考核常见问题指标包,指标包,indicator_pack,P1,L3,经济责任审计 / 资源环境审计 / 监督检查与经费舞弊,经责/经济责任审计,异常性,fiscal_reviewer / review_sentinel,book,经责,领导干部自然资源资产离任审计常见问题定性与评价指南,监督考核常见问题,新增,基于《领导干部自然资源资产离任审计常见问题定性与评价指南》中“监督考核常见问题”相关内容，量化评价审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；会议纪要；三重一大事项,监督考核常见问题指标名称、指标值、标准值、偏离率、评分和扣分原因,E:\2026\审计方法&政策文件\_ocr_output\经责\领导干部自然资源资产离任审计常见问题定性与评价指南.pdf.md
ENVV6D-012,领导干部自然资源资产离任审计常见问题定性与评价指南-土地资源资产管理、节约资源和生态环境保护约束性指标及目标检测算法,算法候选,algorithm,P1,L3,经济责任审计 / 资源环境审计 / 监督检查与经费舞弊,经责/经济责任审计,异常性,fiscal_reviewer / review_sentinel,book,经责,领导干部自然资源资产离任审计常见问题定性与评价指南,土地资源资产管理、节约资源和生态环境保护约束性指标及目标,新增,基于《领导干部自然资源资产离任审计常见问题定性与评价指南》中“土地资源资产管理、节约资源和生态环境保护约束性指标及目标”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；会议纪要；三重一大事项,土地资源资产管理、节约资源和生态环境保护约束性指标及目标疑点清单、风险等级、命中规则、涉及金额、核查建议,E:\2026\审计方法&政策文件\_ocr_output\经责\领导干部自然资源资产离任审计常见问题定性与评价指南.pdf.md
ENVV6D-013,领导干部自然资源资产离任审计常见问题定性与评价指南-耕地保有量指标常见问题内控核查包,内控包,control_pack,P1,L2,经济责任审计 / 资源环境审计 / 监督检查与经费舞弊,经责/经济责任审计,合规性,fiscal_reviewer / review_sentinel,book,经责,领导干部自然资源资产离任审计常见问题定性与评价指南,耕地保有量指标常见问题,新增,基于《领导干部自然资源资产离任审计常见问题定性与评价指南》中“耕地保有量指标常见问题”相关内容，核查审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；会议纪要；三重一大事项,耕地保有量指标常见问题控制点、缺陷类型、责任环节、整改任务、复核状态,E:\2026\审计方法&政策文件\_ocr_output\经责\领导干部自然资源资产离任审计常见问题定性与评价指南.pdf.md
ENVV6D-014,领导干部自然资源资产离任审计常见问题定性与评价指南-基本农田保护面积指标常见问题规则包,规则包,rule_pack,P1,L2,经济责任审计 / 资源环境审计 / 监督检查与经费舞弊,经责/经济责任审计,合规性,fiscal_reviewer / review_sentinel,book,经责,领导干部自然资源资产离任审计常见问题定性与评价指南,基本农田保护面积指标常见问题,新增,基于《领导干部自然资源资产离任审计常见问题定性与评价指南》中“基本农田保护面积指标常见问题”相关内容，固化审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；会议纪要；三重一大事项,基本农田保护面积指标常见问题规则编号、规则说明、触发条件、证据资料、处理建议,E:\2026\审计方法&政策文件\_ocr_output\经责\领导干部自然资源资产离任审计常见问题定性与评价指南.pdf.md
ECONV6D-032,高校领导干部经济责任审计指南-审计程序与方法检测算法,算法候选,algorithm,P0,L3,经济责任审计 / 预算执行与财政管理 / 监督检查与经费舞弊,经责/经济责任审计,异常性,fiscal_reviewer / review_sentinel,book,经责,高校领导干部经济责任审计指南,审计程序与方法,新增,基于《高校领导干部经济责任审计指南》中“审计程序与方法”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；预算批复表；预算调整表；绩效目标表；会议纪要；三重一大事项,审计程序与方法疑点清单、风险等级、命中规则、涉及金额、核查建议,E:\2026\审计方法&政策文件\_ocr_output\经责\高校领导干部经济责任审计指南.pdf.md
ECONV6D-033,高校领导干部经济责任审计指南-高校领导干部经济责任审计指南.pdf规则包,规则包,rule_pack,P1,L2,经济责任审计 / 预算执行与财政管理 / 监督检查与经费舞弊,经责/经济责任审计,合规性,fiscal_reviewer / review_sentinel,book,经责,高校领导干部经济责任审计指南,高校领导干部经济责任审计指南.pdf,新增,基于《高校领导干部经济责任审计指南》中“高校领导干部经济责任审计指南.pdf”相关内容，固化审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；预算批复表；预算调整表；绩效目标表；会议纪要；三重一大事项,高校领导干部经济责任审计指南.pdf规则编号、规则说明、触发条件、证据资料、处理建议,E:\2026\审计方法&政策文件\_ocr_output\经责\高校领导干部经济责任审计指南.pdf.md
ECONV6D-034,高校领导干部经济责任审计指南-高校领导干部经济责任审计概述指标包,指标包,indicator_pack,P1,L3,经济责任审计 / 预算执行与财政管理 / 监督检查与经费舞弊,经责/经济责任审计,异常性,fiscal_reviewer / review_sentinel,book,经责,高校领导干部经济责任审计指南,高校领导干部经济责任审计概述,新增,基于《高校领导干部经济责任审计指南》中“高校领导干部经济责任审计概述”相关内容，量化评价审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；预算批复表；预算调整表；绩效目标表；会议纪要；三重一大事项,高校领导干部经济责任审计概述指标名称、指标值、标准值、偏离率、评分和扣分原因,E:\2026\审计方法&政策文件\_ocr_output\经责\高校领导干部经济责任审计指南.pdf.md
ECONV6D-035,高校领导干部经济责任审计指南-高校领导干部经济责任审计背景检测算法,算法候选,algorithm,P1,L3,经济责任审计 / 预算执行与财政管理 / 监督检查与经费舞弊,经责/经济责任审计,异常性,fiscal_reviewer / review_sentinel,book,经责,高校领导干部经济责任审计指南,高校领导干部经济责任审计背景,新增,基于《高校领导干部经济责任审计指南》中“高校领导干部经济责任审计背景”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；预算批复表；预算调整表；绩效目标表；会议纪要；三重一大事项,高校领导干部经济责任审计背景疑点清单、风险等级、命中规则、涉及金额、核查建议,E:\2026\审计方法&政策文件\_ocr_output\经责\高校领导干部经济责任审计指南.pdf.md
ECONV6D-036,高校领导干部经济责任审计指南-领导干部经济责任审计开展情况·内控核查包,内控包,control_pack,P1,L2,经济责任审计 / 预算执行与财政管理 / 监督检查与经费舞弊,经责/经济责任审计,合规性,fiscal_reviewer / review_sentinel,book,经责,高校领导干部经济责任审计指南,领导干部经济责任审计开展情况·,新增,基于《高校领导干部经济责任审计指南》中“领导干部经济责任审计开展情况·”相关内容，核查审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；预算批复表；预算调整表；绩效目标表；会议纪要；三重一大事项,领导干部经济责任审计开展情况·控制点、缺陷类型、责任环节、整改任务、复核状态,E:\2026\审计方法&政策文件\_ocr_output\经责\高校领导干部经济责任审计指南.pdf.md
ECONV6D-037,高校领导干部经济责任审计指南-高校领导干部经济责任审计的必要性·…·规则包,规则包,rule_pack,P1,L2,经济责任审计 / 预算执行与财政管理 / 监督检查与经费舞弊,经责/经济责任审计,合规性,fiscal_reviewer / review_sentinel,book,经责,高校领导干部经济责任审计指南,高校领导干部经济责任审计的必要性·…·,新增,基于《高校领导干部经济责任审计指南》中“高校领导干部经济责任审计的必要性·…·”相关内容，固化审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；预算批复表；预算调整表；绩效目标表；会议纪要；三重一大事项,高校领导干部经济责任审计的必要性·…·规则编号、规则说明、触发条件、证据资料、处理建议,E:\2026\审计方法&政策文件\_ocr_output\经责\高校领导干部经济责任审计指南.pdf.md
ECONV6D-038,高校领导干部经济责任审计指南-高校领导干部经济责任审计指标包,指标包,indicator_pack,P1,L3,经济责任审计 / 预算执行与财政管理 / 监督检查与经费舞弊,经责/经济责任审计,异常性,fiscal_reviewer / review_sentinel,book,经责,高校领导干部经济责任审计指南,高校领导干部经济责任审计,新增,基于《高校领导干部经济责任审计指南》中“高校领导干部经济责任审计”相关内容，量化评价审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；预算批复表；预算调整表；绩效目标表；会议纪要；三重一大事项,高校领导干部经济责任审计指标名称、指标值、标准值、偏离率、评分和扣分原因,E:\2026\审计方法&政策文件\_ocr_output\经责\高校领导干部经济责任审计指南.pdf.md
PERFV6D-001,中国财政支出政策绩效评价体系研究-财政支出政策绩效评价的现实意义与理论分析检测算法,算法候选,algorithm,P0,L3,绩效评价 / 预算执行与财政管理 / 财政与政府债务,绩效/绩效评价,绩效偏离,performance_evaluator / budget_estimator,book,绩效,中国财政支出政策绩效评价体系研究,财政支出政策绩效评价的现实意义与理论分析,新增,基于《中国财政支出政策绩效评价体系研究》中“财政支出政策绩效评价的现实意义与理论分析”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；预算批复表；预算调整表；绩效目标表；绩效指标表；产出效果数据,财政支出政策绩效评价的现实意义与理论分析疑点清单、风险等级、命中规则、涉及金额、核查建议,E:\2026\审计方法&政策文件\_ocr_output\绩效\中国财政支出政策绩效评价体系研究.pdf.md
PERFV6D-002,中国财政支出政策绩效评价体系研究-中国财政支出政策绩效评价的成效与问题规则包,规则包,rule_pack,P1,L2,绩效评价 / 预算执行与财政管理 / 财政与政府债务,绩效/绩效评价,合规性,performance_evaluator / budget_estimator,book,绩效,中国财政支出政策绩效评价体系研究,中国财政支出政策绩效评价的成效与问题,新增,基于《中国财政支出政策绩效评价体系研究》中“中国财政支出政策绩效评价的成效与问题”相关内容，固化审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；预算批复表；预算调整表；绩效目标表；绩效指标表；产出效果数据,中国财政支出政策绩效评价的成效与问题规则编号、规则说明、触发条件、证据资料、处理建议,E:\2026\审计方法&政策文件\_ocr_output\绩效\中国财政支出政策绩效评价体系研究.pdf.md
PERFV6D-003,中国财政支出政策绩效评价体系研究-中国财政支出政策绩效评价的方法体系指标包,指标包,indicator_pack,P1,L3,绩效评价 / 预算执行与财政管理 / 财政与政府债务,绩效/绩效评价,绩效偏离,performance_evaluator / budget_estimator,book,绩效,中国财政支出政策绩效评价体系研究,中国财政支出政策绩效评价的方法体系,新增,基于《中国财政支出政策绩效评价体系研究》中“中国财政支出政策绩效评价的方法体系”相关内容，量化评价审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；预算批复表；预算调整表；绩效目标表；绩效指标表；产出效果数据,中国财政支出政策绩效评价的方法体系指标名称、指标值、标准值、偏离率、评分和扣分原因,E:\2026\审计方法&政策文件\_ocr_output\绩效\中国财政支出政策绩效评价体系研究.pdf.md
PERFV6D-004,中国财政支出政策绩效评价体系研究-财政支出政策绩效评价的现实意义与理论分析|5检测算法,算法候选,algorithm,P1,L3,绩效评价 / 预算执行与财政管理 / 财政与政府债务,绩效/绩效评价,绩效偏离,performance_evaluator / budget_estimator,book,绩效,中国财政支出政策绩效评价体系研究,财政支出政策绩效评价的现实意义与理论分析|5,新增,基于《中国财政支出政策绩效评价体系研究》中“财政支出政策绩效评价的现实意义与理论分析|5”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；预算批复表；预算调整表；绩效目标表；绩效指标表；产出效果数据,财政支出政策绩效评价的现实意义与理论分析|5疑点清单、风险等级、命中规则、涉及金额、核查建议,E:\2026\审计方法&政策文件\_ocr_output\绩效\中国财政支出政策绩效评价体系研究.pdf.md
PERFV6D-005,中国财政支出政策绩效评价体系研究-中国财政支出政策绩效评价体系研究.pdf内控核查包,内控包,control_pack,P1,L2,绩效评价 / 预算执行与财政管理 / 财政与政府债务,绩效/绩效评价,合规性,performance_evaluator / budget_estimator,book,绩效,中国财政支出政策绩效评价体系研究,中国财政支出政策绩效评价体系研究.pdf,新增,基于《中国财政支出政策绩效评价体系研究》中“中国财政支出政策绩效评价体系研究.pdf”相关内容，核查审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；预算批复表；预算调整表；绩效目标表；绩效指标表；产出效果数据,中国财政支出政策绩效评价体系研究.pdf控制点、缺陷类型、责任环节、整改任务、复核状态,E:\2026\审计方法&政策文件\_ocr_output\绩效\中国财政支出政策绩效评价体系研究.pdf.md
PERFV6D-006,中国财政支出政策绩效评价体系研究-财政支出政策绩效评价的国际经验借鉴规则包,规则包,rule_pack,P1,L2,绩效评价 / 预算执行与财政管理 / 财政与政府债务,绩效/绩效评价,合规性,performance_evaluator / budget_estimator,book,绩效,中国财政支出政策绩效评价体系研究,财政支出政策绩效评价的国际经验借鉴,新增,基于《中国财政支出政策绩效评价体系研究》中“财政支出政策绩效评价的国际经验借鉴”相关内容，固化审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；预算批复表；预算调整表；绩效目标表；绩效指标表；产出效果数据,财政支出政策绩效评价的国际经验借鉴规则编号、规则说明、触发条件、证据资料、处理建议,E:\2026\审计方法&政策文件\_ocr_output\绩效\中国财政支出政策绩效评价体系研究.pdf.md
PERFV6D-007,中国财政支出政策绩效评价体系研究-中国财政支出政策绩效评价框架体系指标包,指标包,indicator_pack,P1,L3,绩效评价 / 预算执行与财政管理 / 财政与政府债务,绩效/绩效评价,绩效偏离,performance_evaluator / budget_estimator,book,绩效,中国财政支出政策绩效评价体系研究,中国财政支出政策绩效评价框架体系,新增,基于《中国财政支出政策绩效评价体系研究》中“中国财政支出政策绩效评价框架体系”相关内容，量化评价审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；预算批复表；预算调整表；绩效目标表；绩效指标表；产出效果数据,中国财政支出政策绩效评价框架体系指标名称、指标值、标准值、偏离率、评分和扣分原因,E:\2026\审计方法&政策文件\_ocr_output\绩效\中国财政支出政策绩效评价体系研究.pdf.md
PERFV6D-008,抽样调查设计导论-社会网络模型：区分“关系数据”和“属性数据”，是把分析重检测算法,算法候选,algorithm,P0,L3,绩效评价 / 预算执行与财政管理 / 财政与政府债务,绩效/绩效评价,绩效偏离,performance_evaluator / budget_estimator,book,绩效,抽样调查设计导论,社会网络模型：区分“关系数据”和“属性数据”，是把分析重,新增,基于《抽样调查设计导论》中“社会网络模型：区分“关系数据”和“属性数据”，是把分析重”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；工程量清单；结算书,社会网络模型：区分“关系数据”和“属性数据”，是把分析重疑点清单、风险等级、命中规则、涉及金额、核查建议,E:\2026\审计方法&政策文件\_ocr_output\绩效\抽样调查设计导论.pdf.md
PERFV6D-009,抽样调查设计导论-分析方法更加多样：定性方法的种类在最近的二十多年中，更是规则包,规则包,rule_pack,P1,L2,绩效评价 / 预算执行与财政管理 / 财政与政府债务,绩效/绩效评价,合规性,performance_evaluator / budget_estimator,book,绩效,抽样调查设计导论,分析方法更加多样：定性方法的种类在最近的二十多年中，更是,新增,基于《抽样调查设计导论》中“分析方法更加多样：定性方法的种类在最近的二十多年中，更是”相关内容，固化审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；工程量清单；结算书,分析方法更加多样：定性方法的种类在最近的二十多年中，更是规则编号、规则说明、触发条件、证据资料、处理建议,E:\2026\审计方法&政策文件\_ocr_output\绩效\抽样调查设计导论.pdf.md
PERFV6D-010,抽样调查设计导论-研究过程更加客观规范：定性分析的一个主要问题在于阐释过程指标包,指标包,indicator_pack,P1,L3,绩效评价 / 预算执行与财政管理 / 财政与政府债务,绩效/绩效评价,绩效偏离,performance_evaluator / budget_estimator,book,绩效,抽样调查设计导论,研究过程更加客观规范：定性分析的一个主要问题在于阐释过程,新增,基于《抽样调查设计导论》中“研究过程更加客观规范：定性分析的一个主要问题在于阐释过程”相关内容，量化评价审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；工程量清单；结算书,研究过程更加客观规范：定性分析的一个主要问题在于阐释过程指标名称、指标值、标准值、偏离率、评分和扣分原因,E:\2026\审计方法&政策文件\_ocr_output\绩效\抽样调查设计导论.pdf.md
PERFV6D-011,抽样调查设计导论-定性研究和定量研究的结合更加紧密：在定量分析方法的教材中检测算法,算法候选,algorithm,P1,L3,绩效评价 / 预算执行与财政管理 / 财政与政府债务,绩效/绩效评价,绩效偏离,performance_evaluator / budget_estimator,book,绩效,抽样调查设计导论,定性研究和定量研究的结合更加紧密：在定量分析方法的教材中,新增,基于《抽样调查设计导论》中“定性研究和定量研究的结合更加紧密：在定量分析方法的教材中”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；工程量清单；结算书,定性研究和定量研究的结合更加紧密：在定量分析方法的教材中疑点清单、风险等级、命中规则、涉及金额、核查建议,E:\2026\审计方法&政策文件\_ocr_output\绩效\抽样调查设计导论.pdf.md
PERFV6D-012,抽样调查设计导论-选择数据收集的方法内控核查包,内控包,control_pack,P1,L2,绩效评价 / 预算执行与财政管理 / 财政与政府债务,绩效/绩效评价,合规性,performance_evaluator / budget_estimator,book,绩效,抽样调查设计导论,选择数据收集的方法,新增,基于《抽样调查设计导论》中“选择数据收集的方法”相关内容，核查审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；工程量清单；结算书,选择数据收集的方法控制点、缺陷类型、责任环节、整改任务、复核状态,E:\2026\审计方法&政策文件\_ocr_output\绩效\抽样调查设计导论.pdf.md
PERFV6D-013,抽样调查设计导论-绩效目标合理性规则包,规则包,rule_pack,P1,L2,绩效评价 / 预算执行与财政管理 / 财政与政府债务,绩效/绩效评价,合规性,performance_evaluator / budget_estimator,book,绩效,抽样调查设计导论,绩效目标合理性,新增,基于《抽样调查设计导论》中“绩效目标合理性”相关内容，固化审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；工程量清单；结算书,绩效目标合理性规则编号、规则说明、触发条件、证据资料、处理建议,E:\2026\审计方法&政策文件\_ocr_output\绩效\抽样调查设计导论.pdf.md
PERFV6D-014,抽样调查设计导论-绩效指标偏离指标包,指标包,indicator_pack,P1,L3,绩效评价 / 预算执行与财政管理 / 财政与政府债务,绩效/绩效评价,绩效偏离,performance_evaluator / budget_estimator,book,绩效,抽样调查设计导论,绩效指标偏离,新增,基于《抽样调查设计导论》中“绩效指标偏离”相关内容，量化评价审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；工程量清单；结算书,绩效指标偏离指标名称、指标值、标准值、偏离率、评分和扣分原因,E:\2026\审计方法&政策文件\_ocr_output\绩效\抽样调查设计导论.pdf.md
PERFV6D-015,水利系统部门整体支出绩效评价的思考与探索-水利系统部门整体支出绩效评价的思考与探索.pdf检测算法,算法候选,algorithm,P1,L3,绩效评价 / 预算执行与财政管理 / 财政与政府债务,绩效/绩效评价,绩效偏离,performance_evaluator / budget_estimator,book,绩效,水利系统部门整体支出绩效评价的思考与探索,水利系统部门整体支出绩效评价的思考与探索.pdf,新增,基于《水利系统部门整体支出绩效评价的思考与探索》中“水利系统部门整体支出绩效评价的思考与探索.pdf”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；预算批复表；预算调整表；绩效目标表；绩效指标表；产出效果数据,水利系统部门整体支出绩效评价的思考与探索.pdf疑点清单、风险等级、命中规则、涉及金额、核查建议,E:\2026\审计方法&政策文件\_ocr_output\绩效\水利系统部门整体支出绩效评价的思考与探索.pdf.md
PERFV6D-016,水利系统部门整体支出绩效评价的思考与探索-部门预算管理制度建规则包,规则包,rule_pack,P1,L2,绩效评价 / 预算执行与财政管理 / 财政与政府债务,绩效/绩效评价,合规性,performance_evaluator / budget_estimator,book,绩效,水利系统部门整体支出绩效评价的思考与探索,部门预算管理制度建,新增,基于《水利系统部门整体支出绩效评价的思考与探索》中“部门预算管理制度建”相关内容，固化审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；预算批复表；预算调整表；绩效目标表；绩效指标表；产出效果数据,部门预算管理制度建规则编号、规则说明、触发条件、证据资料、处理建议,E:\2026\审计方法&政策文件\_ocr_output\绩效\水利系统部门整体支出绩效评价的思考与探索.pdf.md
PERFV6D-017,水利系统部门整体支出绩效评价的思考与探索-评价情况分析及综指标包,指标包,indicator_pack,P1,L3,绩效评价 / 预算执行与财政管理 / 财政与政府债务,绩效/绩效评价,绩效偏离,performance_evaluator / budget_estimator,book,绩效,水利系统部门整体支出绩效评价的思考与探索,评价情况分析及综,新增,基于《水利系统部门整体支出绩效评价的思考与探索》中“评价情况分析及综”相关内容，量化评价审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；预算批复表；预算调整表；绩效目标表；绩效指标表；产出效果数据,评价情况分析及综指标名称、指标值、标准值、偏离率、评分和扣分原因,E:\2026\审计方法&政策文件\_ocr_output\绩效\水利系统部门整体支出绩效评价的思考与探索.pdf.md
PERFV6D-018,水利系统部门整体支出绩效评价的思考与探索-国内外绩效管理实践检测算法,算法候选,algorithm,P1,L3,绩效评价 / 预算执行与财政管理 / 财政与政府债务,绩效/绩效评价,绩效偏离,performance_evaluator / budget_estimator,book,绩效,水利系统部门整体支出绩效评价的思考与探索,国内外绩效管理实践,新增,基于《水利系统部门整体支出绩效评价的思考与探索》中“国内外绩效管理实践”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；预算批复表；预算调整表；绩效目标表；绩效指标表；产出效果数据,国内外绩效管理实践疑点清单、风险等级、命中规则、涉及金额、核查建议,E:\2026\审计方法&政策文件\_ocr_output\绩效\水利系统部门整体支出绩效评价的思考与探索.pdf.md
PERFV6D-019,水利系统部门整体支出绩效评价的思考与探索-绩效目标合理性内控核查包,内控包,control_pack,P1,L2,绩效评价 / 预算执行与财政管理 / 财政与政府债务,绩效/绩效评价,合规性,performance_evaluator / budget_estimator,book,绩效,水利系统部门整体支出绩效评价的思考与探索,绩效目标合理性,新增,基于《水利系统部门整体支出绩效评价的思考与探索》中“绩效目标合理性”相关内容，核查审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；预算批复表；预算调整表；绩效目标表；绩效指标表；产出效果数据,绩效目标合理性控制点、缺陷类型、责任环节、整改任务、复核状态,E:\2026\审计方法&政策文件\_ocr_output\绩效\水利系统部门整体支出绩效评价的思考与探索.pdf.md
PERFV6D-020,环境绩效审计实务指南-环境绩效审计实务指南.pdf检测算法,算法候选,algorithm,P1,L3,绩效评价 / 资源环境审计 / 预算执行与财政管理,绩效/绩效评价,绩效偏离,performance_evaluator / budget_estimator,book,绩效,环境绩效审计实务指南,环境绩效审计实务指南.pdf,新增,基于《环境绩效审计实务指南》中“环境绩效审计实务指南.pdf”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；工程量清单；结算书,环境绩效审计实务指南.pdf疑点清单、风险等级、命中规则、涉及金额、核查建议,E:\2026\审计方法&政策文件\_ocr_output\绩效\环境绩效审计实务指南.pdf.md
PERFV6D-021,环境绩效审计实务指南-审计内容和方法规则包,规则包,rule_pack,P1,L2,绩效评价 / 资源环境审计 / 预算执行与财政管理,绩效/绩效评价,合规性,performance_evaluator / budget_estimator,book,绩效,环境绩效审计实务指南,审计内容和方法,新增,基于《环境绩效审计实务指南》中“审计内容和方法”相关内容，固化审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；工程量清单；结算书,审计内容和方法规则编号、规则说明、触发条件、证据资料、处理建议,E:\2026\审计方法&政策文件\_ocr_output\绩效\环境绩效审计实务指南.pdf.md
PERFV6D-022,环境绩效审计实务指南-审计方法指标包,指标包,indicator_pack,P1,L3,绩效评价 / 资源环境审计 / 预算执行与财政管理,绩效/绩效评价,绩效偏离,performance_evaluator / budget_estimator,book,绩效,环境绩效审计实务指南,审计方法,新增,基于《环境绩效审计实务指南》中“审计方法”相关内容，量化评价审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；工程量清单；结算书,审计方法指标名称、指标值、标准值、偏离率、评分和扣分原因,E:\2026\审计方法&政策文件\_ocr_output\绩效\环境绩效审计实务指南.pdf.md
