case_id,title,source_top,source_file,scene,case_type,risk_terms,data_terms,method_terms,evidence_chain,usable_for,suggested_algorithm_upgrade,summary
CASEV6D-039,面向十五五邮储银行体系化审计发展战略的内涵与贯通思路,2经济责任审计_6期,E:\2026\审计方法&政策文件\_ocr_output\2经济责任审计_6期\面向十五五邮储银行体系化审计发展战略的内涵与贯通思路.md,金融审计 / 国企审计 / 监督检查与经费舞弊,期刊文章案例/经验,风险；内控；预警；异常；绩效,数据；资产；指标；台账；清单,模型；监测；评价；预警；识别,背景事实；审计关注点；数据来源；分析方法；疑点定位；现场核查；处理整改,算法测试案例；疑点解释模板；人工核查程序；底稿证据链,面向十五五邮储银行体系化审计发展战略的内涵与贯通思路案例规则化升级包,从《面向十五五邮储银行体系化审计发展战略的内涵与贯通思路》抽取审计场景、风险词、数据词和方法词，用于验证或升级金融审计相关算法。
CASEV6D-040,领导干部权力寻租风险治理路径探析基于县区党政主要领导干部经济责任审计实践,2经济责任审计_6期,E:\2026\审计方法&政策文件\_ocr_output\2经济责任审计_6期\领导干部权力寻租风险治理路径探析基于县区党政主要领导干部经济责任审计实践.md,经济责任审计 / 监督检查与经费舞弊 / 预算执行与财政管理,期刊文章案例/经验,风险；违规；预警；虚假；围标,资产；审批；数据；清单；支付,分析；核查；穿透；关联；预警,背景事实；审计关注点；数据来源；分析方法；疑点定位；现场核查；处理整改,算法测试案例；疑点解释模板；人工核查程序；底稿证据链,领导干部权力寻租风险治理路径探析基于县区党政主要领导干部经济责任审计实践案例规则化升级包,从《领导干部权力寻租风险治理路径探析基于县区党政主要领导干部经济责任审计实践》抽取审计场景、风险词、数据词和方法词，用于验证或升级经济责任审计相关算法。
CASEV6D-041,高校内部管理领导人员经济责任审计实务困境与全流程优化建议,2经济责任审计_6期,E:\2026\审计方法&政策文件\_ocr_output\2经济责任审计_6期\高校内部管理领导人员经济责任审计实务困境与全流程优化建议.md,经济责任审计 / 监督检查与经费舞弊 / 预算执行与财政管理,期刊文章案例/经验,风险；重复；缺陷；违规；内控,清单；审批；预算；采购；数据,评价；核查；分析；指标；穿透,背景事实；审计关注点；数据来源；分析方法；疑点定位；现场核查；处理整改,算法测试案例；疑点解释模板；人工核查程序；底稿证据链,高校内部管理领导人员经济责任审计实务困境与全流程优化建议案例规则化升级包,从《高校内部管理领导人员经济责任审计实务困境与全流程优化建议》抽取审计场景、风险词、数据词和方法词，用于验证或升级监督检查与经费舞弊相关算法。
BOOKEVID-001,工程总承包政策精要,工程,E:\2026\审计方法&政策文件\_ocr_output\工程\工程总承包政策精要.pdf.md,工程与投资审计 / 招投标与政府采购 / 财政与政府债务,书籍章节证据模板,违规；异常；风险；超标；超预算；超概算；挪用；损失,数据；清单；明细；合同；支付；流水；预算；决算,模型；规则；指标；评价；评分；核查；关联；回归,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,工程总承包政策精要章节规则化抽取,从《工程总承包政策精要》抽取8个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-002,工程项目利润创造与造价风险控制,工程,E:\2026\审计方法&政策文件\_ocr_output\工程\工程项目利润创造与造价风险控制.pdf.md,工程与投资审计 / 招投标与政府采购 / 财政与政府债务,书籍章节证据模板,违规；异常；风险；虚假；重复；超标；套取；损失,数据；台账；清单；明细；合同；发票；凭证；支付,模型；规则；指标；评价；比对；核查；穿透；关联,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,工程项目利润创造与造价风险控制章节规则化抽取,从《工程项目利润创造与造价风险控制》抽取10个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-003,内部经济责任审计,经责,E:\2026\审计方法&政策文件\_ocr_output\经责\内部经济责任审计.pdf.md,经济责任审计 / 监督检查与经费舞弊,书籍章节证据模板,违规；异常；风险；舞弊；虚假；重复；超标；超概算,数据；台账；清单；明细；合同；发票；凭证；支付,算法；模型；规则；指标；评价；评分；比对；核查,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,内部经济责任审计章节规则化抽取,从《内部经济责任审计》抽取8个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-004,国有企业经济责任审计实务指南,经责,E:\2026\审计方法&政策文件\_ocr_output\经责\国有企业经济责任审计实务指南.pdf.md,经济责任审计 / 国企审计 / 监督检查与经费舞弊,书籍章节证据模板,违规；异常；风险；舞弊；虚假；重复；超标；超预算,数据；清单；明细；合同；发票；凭证；支付；流水,算法；规则；指标；评价；比对；核查；关联；预警,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,国有企业经济责任审计实务指南章节规则化抽取,从《国有企业经济责任审计实务指南》抽取7个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-005,经济责任审计实务,经责,E:\2026\审计方法&政策文件\_ocr_output\经责\经济责任审计实务.md,经济责任审计 / 监督检查与经费舞弊,书籍章节证据模板,违规；异常；风险；舞弊；虚假；重复；超标；超预算,数据；台账；清单；明细；合同；发票；凭证；支付,模型；规则；指标；评价；比对；核查；关联；抽样,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,经济责任审计实务章节规则化抽取,从《经济责任审计实务》抽取5个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-006,经济责任审计实务,经责,E:\2026\审计方法&政策文件\_ocr_output\经责\经济责任审计实务.pdf.md,经济责任审计 / 监督检查与经费舞弊,书籍章节证据模板,违规；异常；风险；舞弊；虚假；重复；超标；超预算,数据；台账；清单；明细；合同；发票；凭证；支付,模型；规则；指标；评价；比对；核查；关联；抽样,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,经济责任审计实务章节规则化抽取,从《经济责任审计实务》抽取5个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-007,行政单位经济责任审计实务指南,经责,E:\2026\审计方法&政策文件\_ocr_output\经责\行政单位经济责任审计实务指南.pdf.md,经济责任审计 / 预算执行与财政管理 / 监督检查与经费舞弊,书籍章节证据模板,违规；异常；风险；舞弊；虚假；重复；超标；超预算,数据；台账；清单；明细；合同；发票；凭证；支付,算法；规则；指标；评价；评分；核查；关联；抽样,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,行政单位经济责任审计实务指南章节规则化抽取,从《行政单位经济责任审计实务指南》抽取6个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-008,领导干部自然资源资产离任审计实务与操作指引,经责,E:\2026\审计方法&政策文件\_ocr_output\经责\领导干部自然资源资产离任审计实务与操作指引.pdf.md,经济责任审计 / 资源环境审计 / 监督检查与经费舞弊,书籍章节证据模板,违规；异常；风险；舞弊；虚假；重复；超标；挪用,数据；台账；清单；明细；合同；凭证；支付；流水,算法；模型；规则；指标；评价；评分；比对；核查,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,领导干部自然资源资产离任审计实务与操作指引章节规则化抽取,从《领导干部自然资源资产离任审计实务与操作指引》抽取8个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-009,领导干部自然资源资产离任审计常见问题定性与评价指南,经责,E:\2026\审计方法&政策文件\_ocr_output\经责\领导干部自然资源资产离任审计常见问题定性与评价指南.pdf.md,经济责任审计 / 资源环境审计 / 监督检查与经费舞弊,书籍章节证据模板,违规；异常；风险；虚假；重复；超标；挪用；套取,数据；台账；清单；明细；合同；凭证；支付；预算,算法；规则；指标；评价；比对；核查；关联；抽样,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,领导干部自然资源资产离任审计常见问题定性与评价指南章节规则化抽取,从《领导干部自然资源资产离任审计常见问题定性与评价指南》抽取6个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-010,高校领导干部经济责任审计指南,经责,E:\2026\审计方法&政策文件\_ocr_output\经责\高校领导干部经济责任审计指南.pdf.md,经济责任审计 / 预算执行与财政管理 / 监督检查与经费舞弊,书籍章节证据模板,违规；异常；风险；舞弊；虚假；重复；超标；超预算,数据；台账；清单；明细；合同；发票；凭证；支付,算法；模型；规则；指标；评价；评分；比对；核查,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,高校领导干部经济责任审计指南章节规则化抽取,从《高校领导干部经济责任审计指南》抽取7个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-011,中国财政支出政策绩效评价体系研究,绩效,E:\2026\审计方法&政策文件\_ocr_output\绩效\中国财政支出政策绩效评价体系研究.pdf.md,绩效评价 / 预算执行与财政管理 / 财政与政府债务,书籍章节证据模板,违规；风险；重复；挪用；骗补；损失；低效；闲置,数据；台账；清单；合同；支付；预算；决算；指标,算法；模型；规则；指标；评价；评分；比对；核查,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,中国财政支出政策绩效评价体系研究章节规则化抽取,从《中国财政支出政策绩效评价体系研究》抽取7个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-012,抽样调查设计导论,绩效,E:\2026\审计方法&政策文件\_ocr_output\绩效\抽样调查设计导论.pdf.md,绩效评价 / 预算执行与财政管理 / 财政与政府债务,书籍章节证据模板,违规；异常；风险；重复；挪用；低效；缺陷；绩效,数据；清单；支付；预算；指标；问卷；样本；报表,算法；模型；规则；指标；评价；比对；核查；关联,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,抽样调查设计导论章节规则化抽取,从《抽样调查设计导论》抽取7个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-013,水利系统部门整体支出绩效评价的思考与探索,绩效,E:\2026\审计方法&政策文件\_ocr_output\绩效\水利系统部门整体支出绩效评价的思考与探索.pdf.md,绩效评价 / 预算执行与财政管理 / 财政与政府债务,书籍章节证据模板,违规；风险；虚假；重复；损失；低效；滞留；内控,数据；清单；明细；合同；凭证；支付；预算；决算,算法；模型；规则；指标；评价；评分；比对；核查,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,水利系统部门整体支出绩效评价的思考与探索章节规则化抽取,从《水利系统部门整体支出绩效评价的思考与探索》抽取5个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-014,环境绩效审计实务指南,绩效,E:\2026\审计方法&政策文件\_ocr_output\绩效\环境绩效审计实务指南.pdf.md,绩效评价 / 资源环境审计 / 预算执行与财政管理,书籍章节证据模板,违规；异常；风险；虚假；重复；超标；超预算；超概算,数据；台账；清单；明细；合同；发票；凭证；支付,指标；评价；评分；比对；核查；关联；抽样；监测,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,环境绩效审计实务指南章节规则化抽取,从《环境绩效审计实务指南》抽取6个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-015,绩效审计一个计量的过程和方法,绩效,E:\2026\审计方法&政策文件\_ocr_output\绩效\绩效审计一个计量的过程和方法.pdf.md,绩效评价 / 预算执行与财政管理 / 财政与政府债务,书籍章节证据模板,违规；异常；风险；舞弊；重复；挪用；损失；低效,数据；清单；合同；发票；凭证；支付；流水；预算,算法；模型；规则；指标；评价；评分；核查；关联,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,绩效审计一个计量的过程和方法章节规则化抽取,从《绩效审计一个计量的过程和方法》抽取8个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-016,绩效审计方法,绩效,E:\2026\审计方法&政策文件\_ocr_output\绩效\绩效审计方法.pdf.md,绩效评价 / 预算执行与财政管理 / 财政与政府债务,书籍章节证据模板,违规；异常；风险；舞弊；虚假；重复；超标；挪用,数据；清单；明细；合同；发票；凭证；支付；流水,算法；模型；规则；指标；评价；评分；比对；核查,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,绩效审计方法章节规则化抽取,从《绩效审计方法》抽取7个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-017,调查问卷设计与处理分析,绩效,E:\2026\审计方法&政策文件\_ocr_output\绩效\调查问卷设计与处理分析.pdf.md,绩效评价 / 预算执行与财政管理 / 财政与政府债务,书籍章节证据模板,风险；虚假；重复；损失；完整性；绩效；偏离；预警,数据；台账；预算；指标；问卷；样本；报表；审批,模型；规则；指标；评价；核查；关联；聚类；抽样,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,调查问卷设计与处理分析章节规则化抽取,从《调查问卷设计与处理分析》抽取6个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-018,财政支出绩效评价研究,绩效,E:\2026\审计方法&政策文件\_ocr_output\绩效\财政支出绩效评价研究.pdf.md,绩效评价 / 预算执行与财政管理 / 财政与政府债务,书籍章节证据模板,违规；风险；虚假；重复；超概算；挪用；损失；低效,数据；清单；明细；合同；凭证；支付；预算；决算,算法；模型；规则；指标；评价；评分；比对；核查,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,财政支出绩效评价研究章节规则化抽取,从《财政支出绩效评价研究》抽取7个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-019,中国碳排放权交易实务,能源,E:\2026\审计方法&政策文件\_ocr_output\能源\中国碳排放权交易实务.pdf.md,能源与双碳审计 / 资源环境审计 / 绩效评价,书籍章节证据模板,违规；异常；风险；重复；损失；内控；真实性；完整性,数据；台账；清单；明细；合同；发票；凭证；支付,模型；规则；指标；评价；比对；核查；关联；抽样,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,中国碳排放权交易实务章节规则化抽取,从《中国碳排放权交易实务》抽取8个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-020,公共机构能源审计,能源,E:\2026\审计方法&政策文件\_ocr_output\能源\公共机构能源审计.pdf.md,能源与双碳审计 / 资源环境审计 / 绩效评价,书籍章节证据模板,违规；异常；风险；重复；损失；低效；闲置；缺陷,数据；台账；清单；明细；合同；发票；凭证；支付,算法；模型；规则；指标；评价；比对；核查；关联,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,公共机构能源审计章节规则化抽取,从《公共机构能源审计》抽取6个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-021,公共机构能源审计实务,能源,E:\2026\审计方法&政策文件\_ocr_output\能源\公共机构能源审计实务.pdf.md,能源与双碳审计 / 资源环境审计 / 绩效评价,书籍章节证据模板,违规；异常；风险；舞弊；虚假；重复；超标；损失,数据；台账；清单；明细；合同；发票；凭证；支付,算法；模型；规则；指标；评价；评分；比对；核查,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,公共机构能源审计实务章节规则化抽取,从《公共机构能源审计实务》抽取7个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-022,碳达峰与碳中和实施指南,能源,E:\2026\审计方法&政策文件\_ocr_output\能源\碳达峰与碳中和实施指南.pdf.md,能源与双碳审计 / 资源环境审计 / 绩效评价,书籍章节证据模板,违规；异常；风险；重复；超标；损失；低效；闲置,数据；台账；清单；合同；发票；支付；预算；指标,规则；指标；评价；核查；关联；回归；预警；监测,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,碳达峰与碳中和实施指南章节规则化抽取,从《碳达峰与碳中和实施指南》抽取6个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-023,能源审计原理与实施方法,能源,E:\2026\审计方法&政策文件\_ocr_output\能源\能源审计原理与实施方法.pdf.md,能源与双碳审计 / 资源环境审计 / 绩效评价,书籍章节证据模板,违规；异常；风险；虚假；重复；超标；损失；低效,数据；台账；清单；合同；发票；凭证；支付；流水,模型；规则；指标；评价；比对；核查；抽样；回归,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,能源审计原理与实施方法章节规则化抽取,从《能源审计原理与实施方法》抽取6个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-024,内部审计工作法,通用,E:\2026\审计方法&政策文件\_ocr_output\通用\内部审计工作法.pdf.md,全场景通用 / 监督检查与经费舞弊 / 预算执行与财政管理,书籍章节证据模板,违规；异常；风险；舞弊；虚假；重复；挪用；损失,数据；清单；明细；合同；发票；凭证；支付；流水,算法；模型；规则；指标；评价；评分；比对；核查,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,内部审计工作法章节规则化抽取,从《内部审计工作法》抽取7个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-025,内部审计思维与沟通,通用,E:\2026\审计方法&政策文件\_ocr_output\通用\内部审计思维与沟通.pdf.md,全场景通用 / 监督检查与经费舞弊 / 预算执行与财政管理,书籍章节证据模板,违规；异常；风险；舞弊；虚假；重复；超预算；挪用,数据；台账；清单；明细；合同；发票；凭证；支付,模型；规则；指标；评价；评分；核查；关联；抽样,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,内部审计思维与沟通章节规则化抽取,从《内部审计思维与沟通》抽取6个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-026,内部控制审计实务指南,通用,E:\2026\审计方法&政策文件\_ocr_output\通用\内部控制审计实务指南.pdf.md,监督检查与经费舞弊 / 预算执行与财政管理 / 经济责任审计,书籍章节证据模板,违规；异常；风险；舞弊；虚假；重复；超标；超预算,数据；台账；清单；明细；合同；发票；凭证；支付,模型；规则；指标；评价；评分；核查；关联；抽样,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,内部控制审计实务指南章节规则化抽取,从《内部控制审计实务指南》抽取7个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-027,国家治理导向的政府审计,通用,E:\2026\审计方法&政策文件\_ocr_output\通用\国家治理导向的政府审计.pdf.md,监督检查与经费舞弊 / 预算执行与财政管理 / 绩效评价,书籍章节证据模板,违规；异常；风险；舞弊；虚假；重复；挪用；损失,数据；台账；清单；明细；合同；发票；凭证；支付,算法；模型；规则；指标；评价；评分；比对；核查,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,国家治理导向的政府审计章节规则化抽取,从《国家治理导向的政府审计》抽取10个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-028,基层审计业务操作规程,通用,E:\2026\审计方法&政策文件\_ocr_output\通用\基层审计业务操作规程.pdf.md,全场景通用 / 监督检查与经费舞弊 / 预算执行与财政管理,书籍章节证据模板,违规；异常；风险；虚假；重复；超标；超预算；超概算,数据；台账；清单；明细；合同；发票；凭证；支付,算法；模型；规则；指标；评价；比对；核查；关联,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,基层审计业务操作规程章节规则化抽取,从《基层审计业务操作规程》抽取6个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-029,审计专题教学案例精选,通用,E:\2026\审计方法&政策文件\_ocr_output\通用\审计专题教学案例精选.pdf.md,全场景通用 / 监督检查与经费舞弊 / 绩效评价,书籍章节证据模板,违规；异常；风险；舞弊；虚假；重复；超标；超预算,数据；台账；清单；明细；合同；发票；凭证；支付,算法；模型；规则；指标；评价；评分；核查；关联,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,审计专题教学案例精选章节规则化抽取,从《审计专题教学案例精选》抽取7个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-030,审计案例,通用,E:\2026\审计方法&政策文件\_ocr_output\通用\审计案例.pdf.md,全场景通用 / 监督检查与经费舞弊 / 绩效评价,书籍章节证据模板,违规；异常；风险；舞弊；虚假；重复；超标；超预算,数据；台账；清单；明细；合同；发票；凭证；支付,算法；模型；规则；指标；评价；评分；比对；核查,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,审计案例章节规则化抽取,从《审计案例》抽取7个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-031,政府审计,通用,E:\2026\审计方法&政策文件\_ocr_output\通用\政府审计.pdf.md,监督检查与经费舞弊 / 预算执行与财政管理 / 绩效评价,书籍章节证据模板,违规；异常；风险；舞弊；虚假；重复；超标；超预算,数据；台账；清单；明细；合同；发票；凭证；支付,算法；模型；规则；指标；评价；评分；比对；核查,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,政府审计章节规则化抽取,从《政府审计》抽取8个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-032,政府审计学,通用,E:\2026\审计方法&政策文件\_ocr_output\通用\政府审计学.pdf.md,监督检查与经费舞弊 / 预算执行与财政管理 / 绩效评价,书籍章节证据模板,违规；异常；风险；舞弊；虚假；重复；超标；超预算,数据；台账；清单；明细；合同；发票；凭证；支付,算法；模型；规则；指标；评价；评分；比对；核查,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,政府审计学章节规则化抽取,从《政府审计学》抽取10个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-033,政府审计理论与实务,通用,E:\2026\审计方法&政策文件\_ocr_output\通用\政府审计理论与实务.pdf.md,监督检查与经费舞弊 / 预算执行与财政管理 / 绩效评价,书籍章节证据模板,违规；异常；风险；舞弊；虚假；重复；超标；超预算,数据；台账；清单；明细；合同；发票；凭证；支付,算法；模型；规则；指标；评价；评分；核查；关联,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,政府审计理论与实务章节规则化抽取,从《政府审计理论与实务》抽取8个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-034,行政事业单位内部控制体系建设全流程操作指南,通用,E:\2026\审计方法&政策文件\_ocr_output\通用\行政事业单位内部控制体系建设全流程操作指南.pdf.md,监督检查与经费舞弊 / 预算执行与财政管理 / 经济责任审计,书籍章节证据模板,违规；异常；风险；舞弊；虚假；重复；超标；超预算,数据；台账；清单；明细；合同；发票；凭证；支付,算法；模型；规则；指标；评价；核查；关联；抽样,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,行政事业单位内部控制体系建设全流程操作指南章节规则化抽取,从《行政事业单位内部控制体系建设全流程操作指南》抽取7个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-035,行政事业单位内部控制体系建设实操手册,通用,E:\2026\审计方法&政策文件\_ocr_output\通用\行政事业单位内部控制体系建设实操手册.pdf.md,监督检查与经费舞弊 / 预算执行与财政管理 / 经济责任审计,书籍章节证据模板,违规；风险；舞弊；虚假；重复；超预算；超概算；挪用,数据；台账；清单；明细；合同；发票；凭证；支付,算法；规则；指标；评价；评分；核查；关联；抽样,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,行政事业单位内部控制体系建设实操手册章节规则化抽取,从《行政事业单位内部控制体系建设实操手册》抽取6个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-036,行政事业单位内部控制建设原理与操作实务,通用,E:\2026\审计方法&政策文件\_ocr_output\通用\行政事业单位内部控制建设原理与操作实务.pdf.md,监督检查与经费舞弊 / 预算执行与财政管理 / 经济责任审计,书籍章节证据模板,违规；异常；风险；舞弊；虚假；重复；超标；超预算,数据；台账；清单；明细；合同；发票；凭证；支付,算法；模型；规则；指标；评价；评分；比对；核查,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,行政事业单位内部控制建设原理与操作实务章节规则化抽取,从《行政事业单位内部控制建设原理与操作实务》抽取10个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-037,行政事业单位内部控制规范实施指南,通用,E:\2026\审计方法&政策文件\_ocr_output\通用\行政事业单位内部控制规范实施指南.pdf.md,监督检查与经费舞弊 / 预算执行与财政管理 / 经济责任审计,书籍章节证据模板,违规；异常；风险；舞弊；虚假；重复；超标；超预算,数据；台账；清单；明细；合同；发票；凭证；支付,算法；模型；规则；指标；评价；比对；核查；穿透,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,行政事业单位内部控制规范实施指南章节规则化抽取,从《行政事业单位内部控制规范实施指南》抽取7个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-038,财政审计,通用,E:\2026\审计方法&政策文件\_ocr_output\通用\财政审计.pdf.md,预算执行与财政管理 / 财政与政府债务 / 监督检查与经费舞弊,书籍章节证据模板,违规；异常；风险；舞弊；虚假；重复；超标；超预算,数据；台账；清单；明细；合同；发票；凭证；支付,算法；模型；规则；指标；评价；比对；核查；关联,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,财政审计章节规则化抽取,从《财政审计》抽取8个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-039,财政审计读本,通用,E:\2026\审计方法&政策文件\_ocr_output\通用\财政审计读本.pdf.md,预算执行与财政管理 / 财政与政府债务 / 监督检查与经费舞弊,书籍章节证据模板,违规；异常；风险；虚假；重复；超标；超预算；超概算,数据；台账；清单；明细；合同；发票；凭证；支付,算法；规则；指标；评价；比对；核查；关联；预警,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,财政审计读本章节规则化抽取,从《财政审计读本》抽取6个算法/规则/指标包，并形成书籍级证据模板。
BOOKEVID-040,财政监督检查实务操作指南,通用,E:\2026\审计方法&政策文件\_ocr_output\通用\财政监督检查实务操作指南.pdf.md,预算执行与财政管理 / 财政与政府债务 / 监督检查与经费舞弊,书籍章节证据模板,违规；异常；风险；舞弊；虚假；重复；超标；超预算,数据；台账；清单；明细；合同；发票；凭证；支付,算法；规则；指标；评价；评分；比对；核查；关联,章节依据；风险假设；数据需求；规则/指标；疑点输出；人工核查；底稿归档,算法资产卡依据；规则指标库依据；底稿模板；业务复核清单,财政监督检查实务操作指南章节规则化抽取,从《财政监督检查实务操作指南》抽取8个算法/规则/指标包，并形成书籍级证据模板。
